hip,bayer,con
86614,Psi-1,Dra
86620,Psi-1,Dra
86670,Kap,Sco
86742,Bet,Oph
86796,Mu,Ara
86929,Eta,Pav
86974,Mu,Her
87073,Iot-1,Sco
87108,Gam,Oph
87294,Iot-2,Sco
87585,Xi,Dra
87728,Psi-2,Dra
87808,The,Her
87833,Gam,Dra
87933,Xi,Her
87998,Nu,Her
88048,Nu,Oph
88175,Zet,Ser
88404,Tau,Oph
88567,Gam-1,Sgr
88635,Gam-2,Sgr
88714,The,Ara
88794,Omi,Her
88866,Pi,Pav
89042,Iot,Pav
89112,Eps,Tel
89341,Mu,Sgr
89642,Eta,Sgr
89826,Kap,Lyr
89908,Phi,Dra
89931,Del,Sgr
89937,Chi,Dra
89962,Eta,Ser
90098,Xi,Pav
90133,Phi,Oct
90135,Zet,Sct
90185,Eps,Sgr
90191,Mu,Lyr
90422,Alp,Tel
90496,Lam,Sgr
90568,Zet,Tel
90595,Gam,Sct
90797,Nu,Pav
90830,Del-1,Tel
90853,Del-2,Tel
90969,Kap-2,CrA
90968,Kap-1,CrA
90982,The,CrA
91117,Alp,Sct
91262,Alp,Lyr
91726,Del,Sct
91792,Zet,Pav
91845,Eps,Sct
91875,Lam,CrA
91919,Eps-1,Lyr
91926,Eps-2,Lyr
91971,Zet-1,Lyr
91973,Zet-2,Lyr
92041,Phi,Sgr
92175,Bet,Sct
92226,Mu,CrA
92294,The,Pav
92308,Eta-1,CrA
92382,Eta-2,CrA
92398,Nu-1,Lyr
92405,Nu-2,Lyr
92420,Bet,Lyr
92512,Omi,Dra
92609,Lam,Pav
92646,Kap,Tel
92728,Del-1,Lyr
92761,Nu-1,Sgr
92782,Ups,Dra
92791,Del-2,Lyr
92824,Chi,Oct
92845,Nu-2,Sgr
92855,Sig,Sgr
92946,The-1,Ser
92951,The-2,Ser
93015,Kap,Pav
93026,Eta,Sct
93057,Xi-1,Sgr
93085,Xi-2,Sgr
93148,Lam,Tel
93163,Ome,Pav
93174,Eps,CrA
93194,Gam,Lyr
93244,Eps,Aql
93279,Lam,Lyr
93506,Zet,Sgr
93542,Zet,CrA
93683,Omi,Sgr
93747,Zet,Aql
93805,Lam,Aql
93815,Rho,Tel
93825,Gam,CrA
93864,Tau,Sgr
93903,Iot,Lyr
94005,Del,CrA
94114,Alp,CrA
94141,Pi,Sgr
94160,Bet,CrA
94376,Del,Dra
94481,Eta,Lyr
94643,Psi,Sgr
94648,Tau,Dra
94713,The,Lyr
94724,Tau,Pav
94779,Kap,Cyg
94834,Ome-1,Aql
95002,Ome-2,Aql
95081,Pi,Dra
95168,Rho-1,Sgr
95176,Ups,Sgr
95188,Rho-2,Sgr
95241,Bet-1,Sgr
95261,Eta,Tel
95294,Bet-2,Sgr
95347,Alp,Sgr
95477,Chi-1,Sgr
95486,Chi-2,Sgr
95503,Chi-3,Sgr
95501,Del,Aql
95585,Nu,Aql
95656,Iot-1,Cyg
95771,Alp,Vul
95853,Iot-2,Cyg
95932,Mu,Tel
95947,Bet-1,Cyg
95951,Bet-2,Cyg
96100,Sig,Dra
96229,Mu,Aql
96341,Iot,Tel
96441,The,Cyg
96468,Iot,Aql
96483,Kap,Aql
96516,Eps,Sge
96665,Sig,Aql
96683,Phi,Cyg
